
                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1        577.464        577.464            100
    10         11        202.175        202.175          56.88
    20         21         95.594         95.594        34.0562
    30         31        76.9909        76.9909        20.3907
    40         41        76.9909        76.9909        12.2087
    50         51        60.4094        60.4094        7.30977
    60         61        60.4094        60.4094        4.37663
    70         71        60.4094        60.4094        2.62045
    80         81        60.4094        60.7981        1.56896
    90         91         56.754         56.754       0.939395
   100        101         56.754         56.754        0.56245
   110        111         56.754         56.754        0.33676
   120        121         56.754         56.754       0.201631
   130        131         56.754         56.754       0.120724
   140        141         56.754         56.754      0.0722817
   150        151        52.0889        52.0889      0.0432777
   160        161        49.5052        49.5052       0.025912
   170        171        49.0186        49.0186      0.0155145
   180        181        48.5992        48.5992     0.00928908
   190        191        48.3421        48.3421     0.00556171
   200        201        47.9763        47.9763        0.00333
   210        211        47.8214        47.8214      0.0019938
   220        221        47.6412        47.6412     0.00119376
   230        231        47.6054        47.6054    0.000714748
   240        241        47.5491        47.5491    0.000427946
   250        251        47.5154        47.5154    0.000256227
   260        261        47.5015        47.5015    0.000153413
   270        271         47.486         47.486    9.18538e-05
   280        281        47.4828        47.4828    5.49963e-05
   290        291        47.4815        47.4815    3.29283e-05
   300        301        47.4763        47.4763    1.97154e-05

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   310        311        47.4757        47.4757    1.18043e-05
   320        321        47.4754        47.4754    7.06769e-06
   330        331        47.4748        47.4748    4.23169e-06
   340        341        47.4744        47.4744    2.53367e-06
   350        351        47.4743        47.4743      1.517e-06
*  354        359        47.4742        47.4742        40.2439
   360        365        47.4742        47.4742         29.583
   370        375        47.4742        47.4742        17.7124
   380        385        47.4742        47.4742        10.6051
   390        395        47.4742        47.4742        6.34965
   400        405        47.4742        50.2861        3.80177
   410        415        47.4742        50.2861        2.27626
   420        425        45.6858        45.6858        1.36288
   430        435        45.6858        45.6858       0.816008
   440        445        35.2373        35.2373       0.488574
   450        455        35.2373        35.2373       0.292527
   460        465        28.3404        28.3404       0.175147
   470        475        28.3404        28.3404       0.104867
   480        485        28.3404        28.3404      0.0627877
   490        495        28.0806        28.0806      0.0375933
   500        505        28.0385        28.0385      0.0225085
   510        515        26.6543        26.6543      0.0134767
   520        525        26.6543        26.6543     0.00806898
   530        535        26.6382        26.6382      0.0048312
   540        545        26.6041        26.6041     0.00289262
   550        555        26.5907        26.5907     0.00173192
   560        565        26.5907        26.5953     0.00103696
   570        575        26.5907        26.5926    0.000620868
   580        585        26.5907        26.5926    0.000371736
   590        595        26.5886        26.5886    0.000222572
   600        605        26.5878        26.5878    0.000133262

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   610        615        26.5867        26.5867     7.9789e-05
   620        625        26.5861        26.5861    4.77726e-05
   630        635        26.5858        26.5858    2.86032e-05
   640        645        26.5858        26.5858    1.71258e-05
   650        655        26.5857        26.5857    1.02539e-05
   660        665        26.5856        26.5856    6.13937e-06
   670        675        26.5856        26.5856    3.67586e-06
   680        685        26.5856        26.5856    2.20088e-06
   690        695        26.5856        26.5856    1.31775e-06
   700        705        26.5856        26.5856    7.88983e-07
   710        715        26.5856        26.5856    4.72393e-07
   720        725        26.5856        26.5856    2.82839e-07
   730        735        26.5855        26.5855    1.69346e-07
*  736        745        26.5855        26.5855        31.2835
   740        749        26.5855        26.5855        25.4806
   750        759        26.5855        26.5855        15.2562
   760        769        26.5855        26.5855        9.13444
   770        779        26.5855        26.5855        5.46912
   780        789        26.5855        33.8208        3.27457
   790        799        26.5855        27.7803         1.9606
   800        809        26.5855        27.7803        1.17389
   810        819        26.5855        27.7803       0.702849
   820        829        26.5855        27.7803       0.420822
   830        839        26.5855        27.6463       0.251961
   840        849        26.5855        27.6463       0.150859
   850        859        26.5855        27.6463      0.0903246
   860        869        26.5605        26.5605      0.0540807
   870        879        26.5605        26.5605      0.0323801
   880        889        26.4419        26.4419      0.0193872
   890        899        26.3598        26.3598      0.0116078
   900        909        26.0935        26.0935     0.00695003

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   910        919        26.0935         26.095     0.00416124
   920        929        26.0935         26.095     0.00249149
   930        939        26.0486        26.0486     0.00149175
   940        949        26.0419        26.0439    0.000893163
   950        959        26.0419        26.0447     0.00053477
   960        969         26.041         26.041    0.000320186
   970        979        26.0392        26.0401    0.000191707
   980        989        26.0391        26.0391    0.000114782
   990        999        26.0376        26.0376    6.87244e-05
  1000       1009        26.0375        26.0375    4.11478e-05
  1010       1019        26.0372        26.0372    2.46367e-05
  1020       1029        26.0371        26.0371    1.47509e-05
  1030       1039         26.037         26.037    8.83192e-06
  1040       1049        26.0369        26.0369      5.288e-06
  1050       1059        26.0369        26.0369    3.16612e-06
  1060       1069        26.0369        26.0369    1.89567e-06
  1070       1079        26.0368        26.0368    1.13501e-06
  1080       1089        26.0368        26.0368    6.79572e-07
  1090       1099        26.0368        26.0368    4.06885e-07
  1100       1109        26.0368        26.0368    2.43617e-07
* 1107       1120        26.0368        26.0368        33.3927
  1110       1123        26.0368        26.0368        28.6301
  1120       1133        26.0368        26.0368        17.1419
  1130       1143        26.0368        26.0368        10.2635
  1140       1153        26.0368        28.9284        6.14513
  1150       1163        26.0368        28.9284        3.67932
  1160       1173        26.0368        28.9284        2.20294
  1170       1183        26.0368        28.9284        1.31898
  1180       1193        26.0368        28.9284       0.789724
  1190       1203        26.0368        28.9284       0.472837
  1200       1213        26.0368        28.9284       0.283105

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  1210       1223        26.0368        27.7853       0.169505
  1220       1233        26.0368        27.7853       0.101489
  1230       1243        26.0368        27.7853      0.0607653
  1240       1253        26.0368        27.7853      0.0363824
  1250       1263        26.0368        26.3723      0.0217835
  1260       1273        26.0368        26.3723      0.0130426
  1270       1283        26.0368        26.3723     0.00780908
  1280       1293        26.0368        26.3723     0.00467558
  1290       1303        26.0368        26.2837     0.00279944
  1300       1313        26.0368        26.2867     0.00167613
  1310       1323        26.0368        26.2771     0.00100356
  1320       1333        26.0368        26.2718    0.000600869
  1330       1343        26.0368        26.2684    0.000359763
  1340       1353        26.0368        26.2669    0.000215403
  1350       1363        26.0368        26.2656     0.00012897
  1360       1373        26.0368        26.2647     7.7219e-05
  1370       1383        26.0368        26.2644    4.62339e-05
  1380       1393        26.0368        26.2642    2.76819e-05
  1390       1403        26.0368        26.2641    1.65742e-05
  1400       1413        26.0368         26.264    9.92358e-06
  1410       1423        26.0368        26.2639    5.94161e-06
  1420       1433        26.0368        26.2639    3.55746e-06
  1430       1443        26.0368        26.2638    2.12998e-06
  1440       1453        26.0368        26.2638     1.2753e-06
  1450       1463        26.0368        26.2638     7.6357e-07
  1460       1473        26.0368        26.2638    4.57177e-07
  1470       1483        26.0368        26.2638    2.73729e-07
  1480       1493        26.0368        26.2638    1.63892e-07
* 1487       1504        26.0368        26.2638        32.7674
  1490       1507        26.0368        26.2638        28.0939
  1500       1517        26.0368        26.3962        16.8209

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  1510       1527        26.0368        38.0926        10.0713
  1520       1537        26.0368        38.0926        6.03004
  1530       1547        26.0368        38.0926        3.61041
  1540       1557        26.0368        38.0926        2.16169
  1550       1567        26.0368        38.0926        1.29428
  1560       1577        26.0368        37.8604       0.774934
  1570       1587        26.0368        38.9149       0.463981
  1580       1597        26.0368        33.4651       0.277803
  1590       1607        26.0368        33.4651       0.166331
  1600       1617        26.0368        33.4651      0.0995884
  1610       1627        26.0368        33.4651      0.0596273
  1620       1637        26.0368        32.9649       0.035701
  1630       1647        26.0368        32.6806      0.0213755
  1640       1657        26.0368        31.9179      0.0127983
  1650       1667        26.0368        31.8118     0.00766283
  1660       1677        26.0368        31.8118     0.00458802
  1670       1687        26.0368        31.7042     0.00274702
  1680       1697        26.0368        31.5593     0.00164474
  1690       1707        26.0368        31.4906    0.000984766
  1700       1717        26.0368        31.4292    0.000589616
  1710       1727        26.0368        31.4088    0.000353025
  1720       1737        26.0368        31.3972    0.000211369
  1730       1747        26.0368        31.3886    0.000126554
  1740       1757        26.0368        31.3821    7.57728e-05
  1750       1767        26.0368        31.3813     4.5368e-05
  1760       1777        26.0368        31.3784    2.71635e-05
  1770       1787        26.0368        31.3775    1.62638e-05
  1780       1797        26.0368        31.3764    9.73773e-06
  1790       1807        26.0368        31.3757    5.83034e-06
  1800       1817        26.0368        31.3754    3.49084e-06

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  1810       1827        26.0368        31.3753    2.09009e-06
  1820       1837        26.0368        31.3752    1.25142e-06
  1830       1847        26.0368        31.3752    7.49269e-07
  1840       1857        26.0368        31.3752    4.48615e-07
* 1841       1862        26.0368        31.3752        36.3788
  1850       1871        26.0368        31.3752        22.9277
  1860       1881        26.0368        31.3752        13.7277
  1870       1891        26.0368        31.3752        8.21927
  1880       1901        26.0368        31.3752        4.92118
  1890       1911        26.0368        31.3752        2.94649
  1900       1921        26.0368        31.3752        1.76417
  1910       1931        26.0368        31.3752        1.05628
  1920       1941        26.0368        31.3752       0.632431
  1930       1951        26.0368        31.3752        0.37866
  1940       1961        26.0368        31.3752       0.226718
  1950       1971        26.0368        31.3752       0.135744
  1960       1981        26.0368        31.3752      0.0812751
  1970       1991        26.0368        31.3752      0.0486624
  1980       2001        26.0368        31.3752       0.029136
  1990       2011        26.0368        31.3752      0.0174448
  2000       2021        26.0368        31.3752      0.0104448
  2010       2031        26.0368        31.3752     0.00625371
  2020       2041        26.0368        31.2441     0.00374433
  2030       2051        26.0368        31.1142     0.00224187
  2040       2061        26.0368        31.0067     0.00134229
  2050       2071        26.0368        30.9187    0.000803678
  2060       2081        26.0368         30.876    0.000481192
  2070       2091        26.0368        30.8574    0.000288107
  2080       2101        26.0368        30.8497      0.0001725
  2090       2111        26.0368         30.844    0.000103282
  2100       2121        26.0368         30.839     6.1839e-05

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  2110       2131        26.0368        30.8364    3.70253e-05
  2120       2141        26.0368        30.8348    2.21684e-05
  2130       2151        26.0368         30.834     1.3273e-05
  2140       2161        26.0368        30.8335    7.94706e-06
  2150       2171        26.0368        30.8332     4.7582e-06
  2160       2181        26.0368        30.8329    2.84891e-06
  2170       2191        26.0368        30.8328    1.70575e-06
  2180       2201        26.0368        30.8327    1.02129e-06
  2190       2211        26.0368        30.8327    6.11486e-07
  2200       2221        26.0368        30.8327    3.66119e-07
  2210       2231        26.0368        30.8327    2.19209e-07
* 2215       2240        26.0368        30.8327        34.8629
  2220       2245        26.0368        30.8327        26.9762
  2230       2255        26.0368        30.8327        16.1517
  2240       2265        26.0368        30.8327        9.67061
  2250       2275        26.0368        37.1541        5.79015
  2260       2285        26.0368        37.1541        3.46678
  2270       2295        26.0368        37.1541        2.07569
  2280       2305        26.0368        37.1541        1.24279
  2290       2315        26.0368        37.1541       0.744105
  2300       2325        26.0368        37.1541       0.445523
  2310       2335        26.0368         30.484       0.266751
  2320       2345        26.0368         30.484       0.159714
  2330       2355        26.0368        29.6336      0.0956265
  2340       2365        26.0368        29.6336      0.0572551
  2350       2375        26.0368        27.4579      0.0342807
  2360       2385        26.0368        27.4579      0.0205251
  2370       2395        26.0368        26.8522      0.0122892
  2380       2405        26.0368        26.8522     0.00735798
  2390       2415        26.0368        26.7985     0.00440549
  2400       2425        26.0368          26.65     0.00263773

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  2410       2435        26.0368        26.5794     0.00157931
  2420       2445        26.0368        26.5302    0.000945589
  2430       2455        26.0368         26.504    0.000566159
  2440       2465        26.0368        26.4925    0.000338981
  2450       2475        26.0368        26.4836     0.00020296
  2460       2485        26.0368        26.4764     0.00012152
  2470       2495        26.0368        26.4731    7.27584e-05
  2480       2505        26.0368        26.4726    4.35631e-05
  2490       2515        26.0368        26.4714    2.60828e-05
  2500       2525        26.0368        26.4707    1.56168e-05
